label,d0,d1,d2,d3,d4,d5,d6,h0,h1,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h2,h20,h21,h22,h23,h3,h4,h5,h6,h7,h8,h9,lat,long
0,0.159400838348,0.115081537635,0.125691649639,0.127968540848,0.135185877826,0.152805659298,0.183865896406,0.0602378021058,0.0451840919789,0.0258985935361,0.0302821672764,0.0357927547204,0.0367744671365,0.038135249331,0.0381659897951,0.0352041935923,0.0445569014791,0.0651147475629,0.0801286581082,0.0339920984815,0.0840058024924,0.0811843685636,0.0777047403549,0.0721839547483,0.0251830270603,0.0172137427345,0.00832123345262,0.008799207431,0.0142499500197,0.0193891414564,0.022297116582,40.7301096421,-73.9884791135
1,0.179119139394,0.100932435238,0.11177423583,0.117315178779,0.129381467411,0.153101315076,0.208376228273,0.0992176849293,0.0790723558615,0.0149849170422,0.0182175755018,0.0210781586923,0.0226753311652,0.0240813365552,0.0243523940773,0.023769230257,0.0298612029672,0.0462997991048,0.0631052317633,0.0576169560978,0.0772247322964,0.0855942120156,0.0937874190315,0.102644033664,0.0399503169144,0.0270062464353,0.0113754426497,0.007684692087,0.00787168071142,0.00996293659809,0.0125661135822,40.7219157967,-73.9700328819
2,0.136358094316,0.128768497827,0.141588765566,0.142896959027,0.145677843624,0.149453181801,0.155256657838,0.0414065649598,0.029524860993,0.0434659091112,0.0444853991423,0.0481977089378,0.0478835178129,0.0499253710592,0.0495541564494,0.0425389057256,0.0481151685661,0.0642243732981,0.0697246026016,0.0216905898036,0.0669795459338,0.0643073805385,0.0613031290335,0.0534612417719,0.0159734177536,0.0112283653364,0.00740628282504,0.0139098585704,0.0246478370812,0.0368822462437,0.0431635664515,40.7394254051,-73.9885951466
3,0.0736969062936,0.152584813807,0.172920997643,0.175391220406,0.173498802802,0.160815391243,0.0910918678048,0.0147688749122,0.0102779597114,0.0796544211132,0.0627088105257,0.0605631153973,0.0576640645141,0.0564871983414,0.0485612642444,0.0360819622412,0.0333826825382,0.0394137515429,0.0366969396419,0.00767232848793,0.0288140400435,0.0257561176885,0.0241386918079,0.0201071120174,0.00583491954463,0.00508350204352,0.00945284084991,0.040310534153,0.0814052294228,0.104424206887,0.11073943233,40.744758144,-73.9863135383
4,0.107399420828,0.138547653757,0.155711372701,0.15696931415,0.157370112149,0.152441269274,0.131560857141,0.0245424735554,0.016964834606,0.0642840627577,0.0597373234104,0.0619268875578,0.0590468149748,0.0595224625878,0.0568790626402,0.0461903084544,0.047041497989,0.0589154070311,0.0571000703141,0.0118928406493,0.0481336405202,0.0435050858942,0.0400623323482,0.0335654421209,0.00888938720943,0.00670369648181,0.00719269106225,0.0197931073493,0.0395318235634,0.0584232113895,0.070155535533,40.7457300271,-73.9854747295
5,0.186472658718,0.127862100743,0.124891575181,0.11450669256,0.119148423545,0.135158940199,0.191959609054,0.0195793186575,0.013902406825,0.0874681212987,0.0890084276218,0.0823408399443,0.0731777131288,0.0658278395019,0.0576447642688,0.0418997493061,0.0397266684819,0.0437689564752,0.0384786863628,0.0104121761273,0.0318084142087,0.0280281661963,0.0266466662074,0.0239721226895,0.00761407973143,0.00610434179339,0.00722793343308,0.0197084498903,0.0371006596248,0.0637025962805,0.0848509019444,40.7385274104,-74.0012628348
